Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Fully_Equipped_Kitchen,Province,Municipality,Price_Group,Price_Group_Per_Region
149000.0,8540,HOUSE,HOUSE,TO_BE_DONE_UP,2.0,False,West-Vlaanderen,Deerlijk,100000-200000,West-Vlaanderen_100000-200000
159000.0,4100,HOUSE,MIXED_USE_BUILDING,GOOD,3.0,False,Luik,Seraing,100000-200000,Luik_100000-200000
239000.0,1600,APARTMENT,APARTMENT,GOOD,2.0,False,Vlaams-Brabant,Sint-pieters-leeuw,200000-350000,Vlaams-Brabant_200000-350000
299000.0,9000,APARTMENT,APARTMENT,AS_NEW,1.0,False,Oost-Vlaanderen,Gent,200000-350000,Oost-Vlaanderen_200000-350000
265000.0,1180,APARTMENT,GROUND_FLOOR,TO_RENOVATE,2.0,False,Brussel,Ukkel,200000-350000,Brussel_200000-350000
325000.0,1190,APARTMENT,GROUND_FLOOR,GOOD,1.0,False,Brussel,Vorst,200000-350000,Brussel_200000-350000
375000.0,1310,APARTMENT,APARTMENT,GOOD,3.0,True,Waals-Brabant,La Hulpe,350000-550000,Waals-Brabant_350000-550000
285000.0,2243,APARTMENT,APARTMENT,AS_NEW,2.0,False,Antwerpen,Pulle,200000-350000,Antwerpen_200000-350000
265000.0,3000,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,False,Vlaams-Brabant,Leuven,200000-350000,Vlaams-Brabant_200000-350000
340000.0,9000,HOUSE,MIXED_USE_BUILDING,JUST_RENOVATED,3.0,False,Oost-Vlaanderen,Gent,200000-350000,Oost-Vlaanderen_200000-350000
849000.0,3600,HOUSE,HOUSE,GOOD,3.0,False,Limburg,Genk,750000-950000,Limburg_750000-950000
109500.0,9600,HOUSE,HOUSE,TO_RENOVATE,2.0,False,Oost-Vlaanderen,Ronse,100000-200000,Oost-Vlaanderen_100000-200000
355000.0,9800,APARTMENT,APARTMENT,GOOD,3.0,False,Oost-Vlaanderen,Zeveren,350000-550000,Oost-Vlaanderen_350000-550000
315500.0,8210,APARTMENT,APARTMENT,AS_NEW,3.0,True,West-Vlaanderen,Zedelgem,200000-350000,West-Vlaanderen_200000-350000
850000.0,9340,HOUSE,MIXED_USE_BUILDING,GOOD,4.0,False,Oost-Vlaanderen,Wanzele,750000-950000,Oost-Vlaanderen_750000-950000
165000.0,1080,APARTMENT,APARTMENT,GOOD,1.0,False,Brussel,Sint-jans-molenbeek,100000-200000,Brussel_100000-200000
299900.0,2610,HOUSE,HOUSE,GOOD,4.0,False,Antwerpen,Wilrijk,200000-350000,Antwerpen_200000-350000
210000.0,9860,HOUSE,HOUSE,GOOD,3.0,True,Oost-Vlaanderen,Scheldewindeke,200000-350000,Oost-Vlaanderen_200000-350000
198000.0,8510,APARTMENT,APARTMENT,GOOD,3.0,False,West-Vlaanderen,Rollegem,100000-200000,West-Vlaanderen_100000-200000
160000.0,4570,HOUSE,COUNTRY_COTTAGE,GOOD,3.0,False,Luik,Vyle-Et-Tharoul,100000-200000,Luik_100000-200000
320000.0,2800,HOUSE,HOUSE,JUST_RENOVATED,4.0,False,Antwerpen,Walem,200000-350000,Antwerpen_200000-350000
615000.0,1000,APARTMENT,APARTMENT,AS_NEW,2.0,False,Brussel,Brussel,550000-750000,Brussel_550000-750000
