Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
155000,4360,HOUSE,HOUSE,TO_BE_DONE_UP,4,147.0,0,1.0,0.0,150.0,3.0,0.0,0.0
149000,8610,HOUSE,HOUSE,TO_RENOVATE,3,110.0,0,1.0,0.0,268.0,3.0,0.0,0.0
399000,9400,HOUSE,HOUSE,AS_NEW,4,270.0,0,0.0,0.0,550.0,3.0,0.0,0.0
185000,9040,APARTMENT,APARTMENT,TO_RENOVATE,1,55.0,0,0.0,0.0,0.0,2.0,0.0,1.0
85000,6769,HOUSE,HOUSE,TO_RENOVATE,1,75.0,0,1.0,0.0,118.0,2.0,0.0,0.0
175000,2380,HOUSE,HOUSE,GOOD,3,109.0,0,0.0,0.0,317.0,3.0,0.0,0.0
175000,1190,APARTMENT,GROUND_FLOOR,TO_BE_DONE_UP,1,46.0,0,1.0,0.0,0.0,2.0,0.0,0.0
225000,8670,APARTMENT,APARTMENT,GOOD,1,67.0,0,1.0,0.0,0.0,2.0,0.0,1.0
519000,8301,APARTMENT,APARTMENT,JUST_RENOVATED,2,58.0,0,0.0,0.0,0.0,2.0,0.0,1.0
265000,9810,APARTMENT,APARTMENT,GOOD,3,80.0,0,1.0,0.0,0.0,2.0,0.0,1.0
235000,1410,APARTMENT,APARTMENT,TO_BE_DONE_UP,1,65.0,0,1.0,0.0,0.0,2.0,0.0,1.0
345000,2320,APARTMENT,APARTMENT,AS_NEW,2,118.0,0,0.0,0.0,0.0,2.0,0.0,0.0
215000,8530,HOUSE,HOUSE,AS_NEW,2,128.0,0,1.0,0.0,116.0,3.0,0.0,0.0
199000,4030,APARTMENT,APARTMENT,GOOD,2,82.0,0,1.0,0.0,0.0,2.0,0.0,0.0
675000,1180,APARTMENT,APARTMENT,GOOD,4,147.0,0,1.0,0.0,0.0,2.0,0.0,1.0
255000,8800,APARTMENT,APARTMENT,AS_NEW,2,117.0,0,0.0,0.0,0.0,2.0,0.0,0.0
245000,1080,APARTMENT,APARTMENT,GOOD,2,88.0,0,1.0,0.0,0.0,2.0,0.0,1.0
439000,9300,APARTMENT,APARTMENT,GOOD,2,133.0,0,1.0,0.0,0.0,2.0,0.0,1.0
264000,1200,APARTMENT,APARTMENT,AS_NEW,2,86.0,0,1.0,0.0,0.0,2.0,0.0,1.0
235000,2600,APARTMENT,APARTMENT,AS_NEW,2,85.0,0,1.0,0.0,0.0,3.0,0.0,1.0
